,dialogue_id,Q-3,Q-2,Q-1,A
757908,MDRW2100000830.1,,헐.. 책도 많이 보세요? 저는 책과 등지고 살아요..,저는 한창 책 많이 봤었는데 요새는 안보고 있어요 봐야되는데 흑....,왜요? 봐야한다니..? 굳이..? 물론 보면 좋긴한데에.. 재미없잔아요! ㅋㅋㅎㅋ
189222,HuLiC3592,확인해 봐야겠어요. 저는 항상 넷플릭스에서 새로운 볼거리를 찾고 있습니다.,그래 매번 재미있는 시리즈가 있어서 흥미로워.,"한 번 확인해 봐야겠네요, 추천해 주셔서 감사합니다. 넷플릭스에서 또 무엇을 보는 것을 좋아하나요?",최근에는 지옥 이라는 시리즈가 개봉했어. 약간 실망 했어.
584291,감성대화말뭉치.36012,아내의 머리가 가발이라는 사실에 충격을 받았어.,아내의 머리가 가발이라는 사실에 깜짝 놀라셨겠어요.,아내가 긴 생머리인 줄 알았는데 황당하네.,놀라셨겠어요. 이 상황을 어떻게 대처해야 좋을까요?
1461783,MDRW2100022321.1,차앤박은 피부과 제품이지?,ㅇㅇ 그런 것 같아.. 그래서 써보려구,너무 싼 건 절대 사지 말고 기왕이면 부작용 적고 단순한 걸로 ㅎㅎ,알았응~~ 예뻐지려다 더 망하면 안되지
1294004,MDRW2100010575.1,치사하더라구요 그럴거면 행사를하지 말지ㅠㅠ 파바는 그런거 없어서 좋아요,네~근데 룰렛 최소금액이 15000원이라 좀 아쉬워요,오늘 런치룰렛줬는데 15000원이상 사용이라 버리고 그냥 10000원 주문했어요ㅎ 다들 비슷히군요ㅋ,네~저두ㅎㅎㅎ
1807,Chat10356,아니 낮에 무기력하고 피로하네.,영양제는 먹고 있어.,아니 영양제 같은 거 안 먹는데.,당장 약국에서 종합 비타민 사 먹어.
1059712,MDRW2100001597.1,싫어 조심히 빨리 와,응응,여보,사랑해
454854,감성대화말뭉치.10627,어떤 힘드신 일이 있으셨을까요?,그냥 갑자기 그런 회의감이 들어.,기분이 많이 울적하신가 봐요.,남편이 하늘나라로 간 뒤로 점점 심해져.
35659,Chat2520,,요즘 피곤한가?,왜?,다크써클이 부쩍 보이네.
891027,MDRW2100001499.1,나 지하철 내려서 집 갈때 통화해죠ㅠ,당연하징~~~~~ 자기 나 바나나샀엉!,김밥은!,안샀지  ...
1560229,MDRW2100029006.1,오 저는 무조건 머리부터요 ㅋㅋㅋㅋ 겨울간식 좋아하는거 또 있으신가요 호떡이나 찐빵이나,호떡!! 호떡 맛있어요ㅋㅋㅋ,저희 동네에 고르곤졸라호떡 파는 아저씨 오는데 진짜 맛있더라구요,고르곤졸라랑 호떡이라니
1491407,MDRW2100024281.1,어떻게 그때까지 기다리지헐 대박대박 응 (시무룩,극이...그렇게 진행 되지는 않았지 ㅎ...,ㅎ...,뭐라고 해야하지 근데 각이 보이긴하거든
