index,dialogue_id,Q-3,Q-2,Q-1,A
1562806,MDRW2100029182.1,심지어,몇년가야 만족?,휴대폰도 사용함,그건 별로'..
1749637,MDRW2100042680.1,피오 가 잘하는 날이 오더니,다음 주 거는 재미있을 것 같아,이번 시즌 대탈출 전부 레전드 잖아,대 탈출 재미있어
1285230,﻿MDRW2100009939.1,,,요시고 전시회 보셨나요?,요시고 사진전 ! 너무 가보고싶은데 사람이 많다고 들어서 못가보고있어요 가보셨나요?
253722,HuLiC5080,한국에서 사는 것은 매우 비쌉니다. 동의하나요?,안타깝지만 그말에 동의한다. 한국의 집값은 너무 비싸고 도무지 내려갈 생각이없어,당신은 왜 한국에서 살고 싶습니까?,음. 그래도 나는 한국에서 태어났고 한국사람이니까 한국에 사는게 편하지. 물론 돈이 많으면 다른나라에가서 살고 싶어
380498,HuLiC8006,영화 자체의 분위기도 어두 컴컴하고 깜짝깜짝 놀라는 장면이 많았던 기억이 나.,응 그때 다들 너무 연기를 잘해서 내가 직접 그 현장에 있던 것 같은 느낌이 들었어.,"ㅋㅋ맞아. 반도도 그럼 너무 기대되는 걸, 너무 재밌을 것 같아. 특히 강동원 나오니까 넌 너무 좋겠다ㅋㅋ",응ㅋㅋ 기대돼 반도 언능 보고 싶다.
1690271,MDRW2100038350.1,악 아니요 오늘 아침부터 정신이 없었네요,ㅋㅋ 꼭받으세요 저희는 작년엔6만원인데 올해는 9만원받아서 득템한 기분이었어요 그래봐야 지나간 10년을 생각하면 허허,ㅋㅋ지난10년에는 안줬을거에요.ㅠ 인터넷 쇼핑할것들도 줄줄이 쌓아놨는데 왤케바쁘죠,어쩜 좋아 쉬엄쉬엄하셔요 ㅋㅋㅋ
923502,MDRW2100001523.1,여기 전화안왓어,혼자 계속 있을 수 있겟어? 혹시 아저씨 와줄수 있다면 가라고 할까? 근데 그 아저씨는 아빨 편하게 해줄까 싶네,흠 아빠한테물어볼까 ?? 아빠가 생각좀하더니 name6부를게 name6 이러던데,아냐 네가.괜찮으면 굳이
98256,HuLiC1493,그렇긴 한데 그래도 자가운전하는 게 안전할 것 같아요.,정말 그렇게 생각해?,"네, 그런 것 같아요. 제 생각에는 차를 운전하는 것보다 안전합니다.",사람이 운전하는게 더 안전하다는 뜻이지?
128534,HuLiC2191,침례교인들은 예수가 하나님의 아들이었고 인류의 구세주였다고 믿습니다.,그럼 장로교는 침례교와 어떤 게 다른 거야?,"확실하지는 않지만, 침례교회가 미국에서 가장 큰 교파라는 것은 알고 있습니다.","내 친구는 영국 국교회라고 영국에서 만든 교회에 다닌다던데, 혹시 들어봤어?"
267180,HuLiC5391,슈퍼히어로는 아니지만 조커 영화도 재밌게 봤어ㅋㅋ,그건 아직 못 봤는데 목록에 있어요. 어떤 내용인가요?,배트맨의 대척점인 빌런 조커의 이야기야,"오, 그거 흥미로울 것 같네요. 확인해 봐야겠어요. 또 뭐 하고 싶으세요?"
752288,MDRW2100000472.1,,여행좋아하시나요?,완전 좋아하는데 코로나로 거의 못가서 아쉬워요ㅜ,저도요ㅜㅜ코로나전엔 진짜 틈만나면 다녔었는데
